fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
1,1535001,JRG Złotów,KP PSP Złotów,KW PSP Poznań,65422,1,1,1,2777,1318,8,551,1,8,1378288972,1379,2,16,WIELKOPOLSKIE,złotowski,1535001,17.04531944,53.36851944
2,1524001,JRG nr 1 Piła,KP PSP Piła,KW PSP Poznań,59895,1,1,1,4383,2034,11,722,2,8,441698709,442,2,7,WIELKOPOLSKIE,pilski,1524001,16.731125,53.15445
3,1504002,JRG Trzcianka,KP PSP Czarnków,KW PSP Poznań,37374,1,2,0,2679,1425,8,386,2,7,944269989,945,2,0,WIELKOPOLSKIE,czarnkowsko-trzcianecki,1504002,16.45554167,53.03823611
4,1501007,JRG 7 Poznań,KM PSP Poznań,KW PSP Poznań,78060,1,3,0,11151,6942,10,1307,2,15,17761089,18,2,1,WIELKOPOLSKIE,Poznań,1501007,16.96702778,52.38638889
5,1528001,JRG Szamotuły,KP PSP Szamotuły,KW PSP Poznań,93315,1,2,1,5972,2703,8,794,1,7,1117521802,1118,3,13,WIELKOPOLSKIE,szamotulski,1528001,16.58555556,52.61388889
6,1501005,JRG 5 Poznań,KM PSP Poznań,KW PSP Poznań,182314,3,3,1,14430,9419,11,1388,2,8,122892050,123,3,0,WIELKOPOLSKIE,Poznań,1501005,16.91152778,52.45058333
7,1517001,JRG Leszno,KM PSP Leszno,KW PSP Poznań,102271,1,2,1,7022,3731,12,951,4,10,606921006,607,3,4,WIELKOPOLSKIE,Leszno,1517001,16.59185833,51.82893611
8,1531001,JRG Turek,KP PSP Turek,KW PSP Poznań,78564,1,2,1,3749,2088,8,684,0,12,960355116,961,2,27,WIELKOPOLSKIE,turecki,1531001,18.4816,52.01614722
9,1520001,JRG Nowy Tomyśl,KP PSP Nowy Tomyśl,KW PSP Poznań,61841,1,1,1,3007,1596,8,547,1,10,933081380,934,2,25,WIELKOPOLSKIE,nowotomyski,1520001,16.12988889,52.31888889
10,1525001,JRG Pleszew,KP PSP Pleszew,KW PSP Poznań,58536,1,2,1,3689,2116,8,555,4,8,721623127,722,2,0,WIELKOPOLSKIE,pleszewski,1525001,17.78100278,51.8938
11,1513002,JRG nr 2 Konin,KM PSP Konin,KW PSP Poznań,60254,1,2,0,3108,1862,11,702,1,10,611853722,612,2,21,WIELKOPOLSKIE,Konin,1513002,18.25258056,52.20729444
12,1504001,JRG Czarnków,KP PSP Czarnków,KW PSP Poznań,52000,1,1,1,2750,1613,8,528,2,8,1134778700,1135,2,17,WIELKOPOLSKIE,czarnkowsko-trzcianecki,1504001,16.56165,52.90230833
13,1532001,JRG Wągrowiec,KP PSP Wągrowiec,KW PSP Poznań,69128,1,2,1,4107,2147,8,814,0,9,1096849272,1097,2,30,WIELKOPOLSKIE,wągrowiecki,1532001,17.21194444,52.81143333
14,1513001,JRG nr 1 Konin,KM PSP Konin,KW PSP Poznań,116944,0,4,1,9476,5160,13,1062,0,13,759876102,760,2,0,WIELKOPOLSKIE,Konin,1513001,18.26773333,52.23424167
15,1515001,JRG Kościan,KP PSP Kościan,KW PSP Poznań,81319,1,2,1,4460,2750,8,691,0,11,759319867,760,2,22,WIELKOPOLSKIE,kościański,1515001,16.64203056,52.08854167
16,1526001,JRG Rawicz,KP PSP Rawicz,KW PSP Poznań,65108,1,1,1,2942,1587,7,485,4,9,734621076,735,1,2,WIELKOPOLSKIE,rawicki,1526001,16.86046389,51.60639444
17,1501002,JRG 2 Poznań,KM PSP Poznań,KW PSP Poznań,131894,5,2,1,12272,7044,10,1927,2,6,28025402,29,1,0,WIELKOPOLSKIE,Poznań,1501002,16.90236111,52.40536111
18,1503001,JRG Chodzież,KP PSP Chodzież,KW PSP Poznań,43859,1,1,1,2453,1334,7,514,1,10,658205854,659,1,0,WIELKOPOLSKIE,chodzieski,1503001,16.91361111,52.98861111
19,1527001,JRG Słupca,KP PSP Słupca,KW PSP Poznań,63925,1,2,1,2917,1711,8,614,2,10,934844090,935,2,9,WIELKOPOLSKIE,słupecki,1527001,17.87489444,52.28985833
20,1519001,JRG Międzychód,KP PSP Międzychód,KW PSP Poznań,40817,1,1,1,2373,1358,7,582,0,9,1199204057,1200,2,24,WIELKOPOLSKIE,międzychodzki,1519001,15.90059167,52.60407222
21,1509002,JRG nr 2 Kalisz,KM PSP Kalisz,KW PSP Poznań,53651,0,1,0,1005,527,8,796,1,5,551333930,552,1,0,WIELKOPOLSKIE,Kalisz,1509002,18.09748056,51.73599167
22,1522001,JRG Ostrów Wielkopolski,KP PSP Ostrów Wielkopolski,KW PSP Poznań,141359,1,5,1,10260,5333,15,1363,3,17,930917010,931,5,5,WIELKOPOLSKIE,ostrowski,1522001,17.79221111,51.65991667
23,1508001,JRG Jarocin,KP PSP Jarocin,KW PSP Poznań,80941,1,1,1,3970,1864,8,628,0,10,769623129,770,1,28,WIELKOPOLSKIE,jarociński,1508001,17.48666667,51.95805556
24,1509001,JRG nr 1 Kalisz,KM PSP Kalisz,KW PSP Poznań,134497,2,5,1,12766,6796,14,1364,3,15,714753900,715,4,19,WIELKOPOLSKIE,Kalisz,1509001,18.09277778,51.75222222
25,1501001,JRG 1 Poznań,KM PSP Poznań,KW PSP Poznań,51908,1,2,0,8242,3615,11,1628,1,11,14666107,15,1,0,WIELKOPOLSKIE,Poznań,1501001,16.93283333,52.41080556
26,1521001,JRG Oborniki,KP PSP Oborniki,KW PSP Poznań,54864,1,1,1,3875,1678,8,635,5,5,569201127,570,2,3,WIELKOPOLSKIE,obornicki,1521001,16.82005556,52.64941667
27,1511001,JRG Kępno,KP PSP Kępno,KW PSP Poznań,52942,1,1,1,3080,1966,8,750,0,11,504833581,505,1,29,WIELKOPOLSKIE,kępiński,1511001,17.98302778,51.28147222
28,1524002,JRG nr 2 Piła,KP PSP Piła,KW PSP Poznań,48561,0,2,0,3914,1879,8,618,2,6,585868090,586,2,0,WIELKOPOLSKIE,pilski,1524002,16.7799,53.16109167
29,1512001,JRG Koło,KP PSP Koło,KW PSP Poznań,92444,1,2,1,4982,2356,9,788,2,10,1185731904,1186,2,6,WIELKOPOLSKIE,kolski,1512001,18.62857778,52.20263333
30,1523001,JRG Ostrzeszów,KP PSP Ostrzeszów,KW PSP Poznań,53285,1,1,1,2736,1331,8,499,0,10,785437401,786,2,15,WIELKOPOLSKIE,ostrzeszowski,1523001,17.93551944,51.42388889
31,1507001,JRG Grodzisk Wielkopolski,KP PSP Grodzisk Wielkopolski,KW PSP Poznań,59410,1,2,1,3879,2004,7,468,2,7,590468308,591,3,20,WIELKOPOLSKIE,grodziski,1507001,16.36416667,52.21805556
32,1501004,JRG 4 Poznań,KM PSP Poznań,KW PSP Poznań,117025,0,4,0,8881,4285,10,1251,3,10,320702987,321,4,0,WIELKOPOLSKIE,Poznań,1501004,16.84544444,52.42491667
33,1533001,JRG Wolsztyn,KP PSP Wolsztyn,KW PSP Poznań,59455,1,1,1,2852,1710,7,600,5,7,801656590,802,1,8,WIELKOPOLSKIE,wolsztyński,1533001,16.11649722,52.11442222
34,1502002,JRG 9 Mosina,KM PSP Poznań,KW PSP Poznań,58237,1,2,0,4122,2293,8,545,0,4,457710300,458,2,0,WIELKOPOLSKIE,poznański,1502002,16.84840833,52.24140833
35,1501055,WL SA PSP Poznań,KM PSP Poznań,KW PSP Poznań,118190,3,3,0,9544,6145,13,1216,2,10,87855227,88,2,0,0,0,0,0,0
36,1506001,JRG Gostyń,KP PSP Gostyń,KW PSP Poznań,78124,1,2,1,3703,2081,8,490,1,9,874581867,875,3,23,WIELKOPOLSKIE,gostyński,1506001,17.01090833,51.87340833
37,1534001,JRG Września,KP PSP Września,KW PSP Poznań,76229,1,1,1,4252,2298,8,632,3,12,717856742,718,1,18,WIELKOPOLSKIE,wrzesiński,1534001,17.53996389,52.309375
38,1529001,JRG Śrem,KP PSP Śrem,KW PSP Poznań,60923,1,1,1,3144,1768,8,556,1,5,569030240,570,1,26,WIELKOPOLSKIE,śremski,1529001,17.01978889,52.07823333
39,1530001,JRG Środa Wielkopolska,KP PSP Środa Wielkopolska,KW PSP Poznań,52137,1,1,1,3562,2198,7,654,2,10,515974420,516,2,10,WIELKOPOLSKIE,średzki,1530001,17.28472222,52.21916667
40,1501006,JRG 6 Poznań,KM PSP Poznań,KW PSP Poznań,70938,0,1,0,2243,1363,15,833,2,9,294295257,295,1,0,WIELKOPOLSKIE,Poznań,1501006,16.98697222,52.34352778
41,1501003,JRG 3 Poznań,KM PSP Poznań,KW PSP Poznań,123886,0,3,0,7210,3574,8,974,1,5,465987972,466,3,0,WIELKOPOLSKIE,Poznań,1501003,17.03522222,52.40836111
42,1502001,JRG 8 Bolechowo,KM PSP Poznań,KW PSP Poznań,35655,0,1,0,1901,1020,8,690,1,9,367880133,368,1,0,WIELKOPOLSKIE,poznański,1502001,16.97436111,52.54958333
43,1001001P1,PJRG nr 2 Białystok,KM PSP Białystok,KW PSP Białystok,59429,0,2,1,4707,3007,5,0,0,2,1203687163,1204,3,0,0,0,0,0,0
44,1117001,JRG Starogard Gdański,KP PSP Starogard Gdański,KW PSP Gdańsk,135827,1,5,1,11035,4823,13,905,9,9,1556530643,1557,5,1,POMORSKIE,starogardzki,1117001,18.52767222,53.96562778
45,1102001,JRG Bytów,KP PSP Bytów,KW PSP Gdańsk,54297,0,0,0,0,0,8,584,4,10,1541768763,1542,0,13,POMORSKIE,bytowski,1102001,17.49384167,54.184975
46,1106001,JRG Kartuzy,KP PSP Kartuzy,KW PSP Gdańsk,129212,1,3,1,4196,2362,10,1062,1,11,1015231554,1016,3,17,POMORSKIE,kartuski,1106001,18.20420278,54.33640833
47,1107001,JRG Kościerzyna,KP PSP Kościerzyna,KW PSP Gdańsk,74695,1,2,1,5127,2874,8,674,2,6,1206408934,1207,1,8,POMORSKIE,kościerski,1107001,17.97529444,54.12583333
48,1109001,JRG Lębork,KP PSP Lębork,KW PSP Gdańsk,66448,1,1,1,5276,2279,8,742,5,15,872427669,873,1,6,POMORSKIE,lęborski,1109001,17.73575556,54.54488889
49,1110001,JRG Malbork,KP PSP Malbork,KW PSP Gdańsk,58525,1,3,0,5571,2669,8,1115,3,7,484064525,485,2,12,POMORSKIE,malborski,1110001,19.04316944,54.02843333
50,1102002,JRG Miastko,KP PSP Bytów,KW PSP Gdańsk,31141,0,2,0,819,404,7,439,1,6,1265630457,1266,2,0,POMORSKIE,bytowski,1102002,16.98297222,54.00246389
51,1111001,JRG Nowy Dwór Gdański,KP PSP Nowy Dwór Gdański,KW PSP Gdańsk,30028,0,2,1,1277,1382,7,577,2,9,506984066,507,3,7,POMORSKIE,nowodworski,1111001,19.13760278,54.20601389
52,1101001,JRG nr 1 Gdańsk,KM PSP Gdańsk,KW PSP Gdańsk,114473,2,4,1,13457,8681,12,1476,1,9,54601163,55,3,0,POMORSKIE,Gdańsk,1101001,18.60083333,54.37805556
53,1105001,JRG Nr 1 Gdynia Śródmieście,KM PSP Gdynia,KW PSP Gdańsk,95337,3,2,1,7136,4117,12,1346,5,10,38897306,39,1,0,POMORSKIE,Gdynia,1105001,18.53834444,54.52194722
54,1114001,JRG nr 1 Słupsk,KM PSP Słupsk,KW PSP Gdańsk,85751,0,0,0,0,0,11,1388,3,7,1211567314,1212,0,10,POMORSKIE,Słupsk,1114001,17.03630278,54.46428889
55,1105002,JRG Nr 2 Gdynia Chylonia,KM PSP Gdynia,KW PSP Gdańsk,47443,0,2,0,3746,2447,7,603,5,7,41190426,42,1,0,POMORSKIE,Gdynia,1105002,18.46277778,54.54912222
56,1114002,JRG nr 2 Słupsk,KM PSP Słupsk,KW PSP Gdańsk,64365,0,0,0,0,0,8,718,3,5,579187385,580,0,0,POMORSKIE,Słupsk,1114002,17.03630278,54.46428889
57,1101003,JRG nr 3 Gdańsk Orunia,KM PSP Gdańsk,KW PSP Gdańsk,82951,0,1,0,2658,1564,8,673,1,7,36830111,37,1,0,POMORSKIE,Gdańsk,1101003,18.63055556,54.31
58,1105003,JRG Nr 3 Gdynia Oksywie,KM PSP Gdynia,KW PSP Gdańsk,62189,0,2,0,4437,2566,7,306,5,5,54549058,55,1,0,POMORSKIE,Gdynia,1105003,18.54949444,54.55129444
59,1115001,JRG nr 3 Ustka,KM PSP Słupsk,KW PSP Gdańsk,25720,0,0,0,0,0,7,470,1,5,462207240,463,0,0,POMORSKIE,słupski,1115001,16.85223889,54.58099444
60,1101004,JRG nr 4 Gdańsk Nowe Szkoty,KM PSP Gdańsk,KW PSP Gdańsk,50640,0,1,0,2400,1549,8,838,5,5,17612449,18,1,9,POMORSKIE,Gdańsk,1101004,18.63916667,54.37083333
61,1112001,JRG Pruszcz Gdański,KP PSP Pruszcz Gdański,KW PSP Gdańsk,108227,0,2,1,4968,3271,8,956,6,10,676569882,677,2,4,POMORSKIE,gdański,1112001,18.63903611,54.26639167
62,1113001,JRG Puck,KP PSP Puck,KW PSP Gdańsk,68230,2,4,1,6788,3149,7,1463,1,7,529414497,530,4,19,POMORSKIE,pucki,1113001,18.40635278,54.71908611
63,1119001,JRG Rumia,KP PSP Wejherowo,KW PSP Gdańsk,81000,0,3,0,4681,3078,8,779,2,4,94636921,95,2,0,POMORSKIE,wejherowski,1119001,18.39972222,54.57861111
64,1116001,JRG Sopot,KM PSP Sopot,KW PSP Gdańsk,30351,0,3,1,6971,3950,7,701,5,5,21215279,22,1,11,POMORSKIE,Sopot,1116001,18.55583333,54.44333333
65,1120001,JRG Sztum,KP PSP Sztum,KW PSP Gdańsk,37146,1,1,1,369,530,7,376,5,6,698982807,699,1,16,POMORSKIE,sztumski,1120001,19.02798333,53.92791389
66,1118001,JRG Tczew,KP PSP Tczew,KW PSP Gdańsk,90227,1,2,1,5702,3318,13,1031,1,22,506729322,507,2,18,POMORSKIE,tczewski,1118001,18.791925,54.08736944
67,1103001,JRG Chojnice,KP PSP Chojnice,KW PSP Gdańsk,94307,1,3,1,7571,3916,9,689,7,12,1363853913,1364,3,5,POMORSKIE,chojnicki,1103001,17.5824,53.69815833
68,1108001,JRG Kwidzyn,KP PSP Kwidzyn,KW PSP Gdańsk,86304,1,3,1,7278,4081,8,592,3,6,909688367,910,3,14,POMORSKIE,kwidzyński,1108001,18.93578333,53.72211667
69,1104001,JRG Człuchów,KP PSP Człuchów,KW PSP Gdańsk,40695,2,3,0,3446,1824,7,734,3,5,1160376720,1161,2,15,POMORSKIE,człuchowski,1104001,17.35638889,53.66861111
70,0410001,JRG nr 1 Zielona Góra,KM PSP Zielona Góra,KW PSP Gorzów Wielkopolski,96389,0,1,0,1401,829,10,1111,1,11,492083603,493,1,0,LUBUSKIE,Zielona Góra,0410001,15.50762222,51.92879722
71,0403001,JRG Gubin,KP PSP Krosno Odrzańskie,KW PSP Gorzów Wielkopolski,21798,0,1,1,2689,1050,7,496,0,8,403220153,404,1,0,LUBUSKIE,krośnieński,0403001,14.72403333,51.94538056
72,0403002,JRG Krosno Odrzańskie,KP PSP Krosno Odrzańskie,KW PSP Gorzów Wielkopolski,30096,1,2,0,3206,1252,7,502,2,12,1044923041,1045,1,0,LUBUSKIE,krośnieński,0403002,15.09096667,52.05841944
73,0413001,JRG Lubsko,KP PSP Żary,KW PSP Gorzów Wielkopolski,30409,0,0,0,0,0,7,672,2,8,685702955,686,0,0,LUBUSKIE,żarski,0413001,14.96898611,51.78753056
74,0404001,JRG Międzyrzecz,KP PSP Międzyrzecz,KW PSP Gorzów Wielkopolski,48000,1,4,0,5889,2951,7,690,4,12,1008983303,1009,3,0,LUBUSKIE,międzyrzecki,0404001,15.57777778,52.45583333
75,0406001,JRG Słubice,KP PSP Słubice,KW PSP Gorzów Wielkopolski,35076,1,4,0,4530,2807,7,770,3,9,611995063,612,3,0,LUBUSKIE,słubicki,0406001,14.5675,52.35444444
76,0407001,JRG Strzelce Krajeńskie,KP PSP Strzelce Krajeńskie,KW PSP Gorzów Wielkopolski,45359,0,3,1,4822,2666,7,836,4,13,1206368178,1207,3,0,LUBUSKIE,strzelecko-drezdenecki,0407001,15.52236667,52.88097778
77,0411001,JRG Sulechów,KM PSP Zielona Góra,KW PSP Gorzów Wielkopolski,44801,1,2,0,3596,1924,7,687,1,7,675747758,676,1,0,LUBUSKIE,zielonogórski,0411001,15.62975556,52.08478611
